01,date_process,id_client,id_business,id_process
02,transactional,code,description,initial_balance,debits,credits,final_balance
03,2023-01-01 00:00:00.0,1,83e977aa-edbe-47a2-8a2f-e176852fd0f2,641f3a3b-0c26-440d-8512-f6cd3c351d50
04,N,1,test,0.0,0.0,0.0,6.949510283E9
04,N,11,Efectivo y equivalentes de efectivo,8.98037424603E9,1.59204402687E9,6.32054573771E9,4.25187253519E9
04,N,1110,Bancos,1.28093211131E9,8.5732761954E8,1.45142453065E9,6.868352002E8
04,N,111005,Moneda nacional,1.27588164849E9,8.5732761954E8,1.45142453065E9,6.8178473738E8
04,S,11100501,Cuenta Corriente Colpatria,1.4580400781E8,2.3034346654E8,3.1733332274E8,5.881415161E7
04,S,11100502,Cuenta Corriente BBVA,1.11390397988E9,6.26984153E8,1.13409120791E9,6.0679692497E8
04,S,11100503,Banco Itau,91422.6,0.0,0.0,91422.6
04,S,11100504,Fic Global Securities,1.58853506E7,0.0,0.0,1.58853506E7
04,S,11100505,Cuenta OYD 200648,196887.6,0.0,0.0,196887.6
04,N,111015,Efectivo Restringido,5050462.82,0.0,0.0,5050462.82
04,S,11101501,BBVA Union Temporal Nuvu S3,5020462.82,0.0,0.0,5020462.82
04,S,11101502,Bancolombia Union Temporal Acttiva,30000.0,0.0,0.0,30000.0
04,N,1120,Cuentas de ahorro,7.69944213472E9,7.3471640733E8,4.86912120706E9,3.56503733499E9
04,N,112005,Bancos,7.69944213472E9,7.3471640733E8,4.86912120706E9,3.56503733499E9
04,S,11200502,Colpatria Cuenta de ahorros,3.817804642E9,3.353946699E7,7.0042479794E8,3.15091931105E9
04,S,11200503,Bancolombia 96300000666 Cta Aho,2.828238052E7,0.0,93319.64,2.818906088E7
04,S,11200504,Bancolombia Panamá,3.8533551122E9,7.0117694034E8,4.16860308948E9,3.8592896306E8
04,N,12,Inversiones en asociadas,2.781034283E9,4.168476E9,0.0,6.949510283E9
04,N,1205,Acciones,2.771034283E9,0.0,0.0,2.771034283E9
04,N,120550,Actividad financiera,4.29E7,0.0,0.0,4.29E7
04,S,12055001,KOIA S.A.S.,4.29E7,0.0,0.0,4.29E7
04,N,120555,Actividades Inmobiliarias,2.86E8,0.0,0.0,2.86E8
04,S,12055501,Actividades Inmobiliarias,2.86E8,0.0,0.0,2.86E8
